Code	Name UZ	Name RU	Номер формы 	
docum-0001-00016	066-Shifoxonadan chiqarilganlarning statistik kartasi	066-Статистическая карта выбывшего из стационара	066*	
docum-0001-00017	086-2 Qariyalar va nogironlik olganlar (kartasi/hisobi)	086-2 Карта (учет) престарелых и инвалидов	086-2*	
docum-0001-00018	096-Tugʻruq tibbiy kartasi	096-Медицинская карта родов	096*	
docum-0001-00019	097-Chaqaloqning rivojlanish tibbiy kartasi	097-Медицинская карта развития новорожденного	097*	
docum-0001-00020	110-Irsiy-genetik kasallik bilan bemorning ambulator kartasi	110-Амбулаторная карта больного с наследственным генетическим заболеванием	110*	
docum-0001-00021	111-Homilador va tuqqan ayolning individual kartasi	111-Индивидуальная карта беременной и родильницы	111*	
docum-0001-00022	112-Irsiy-genetik kasallik bilan bemorning dispanser kuzatuv genetik kartasi	112-Диспансерная генетическая карта больного с наследственным генетическим заболеванием	112*	
docum-0001-00023	113-Ambulatoriya-poliklinika muassasasi va tugʻruq boʻlimining almashish kartasi	113-Обменная карта амбулаторно-поликлинического учреждения и родильного отделения	113*	
docum-0001-00024	113-Ambulatoriya-poliklinika muassasasi va tugʻruq boʻlimining almashish kartasi (takroriy)	113-Обменная карта амбулаторно-поликлинического учреждения и родильного отделения (дубликат)	113*	
docum-0001-00025	115-Homiladorning prenatal tekshiruv kartasi	115-Карта пренатального обследования беременной	115*	
docum-0001-00026	122-Donorni hisobga olish kartasi	122-Учетная карта донора	122*	
docum-0001-00027	124-Begʻaraz donor kartasi	124-Карта безвозмездного донора	124*	
docum-0001-00028	150-Qurilayotgan (ta'mirlanayotgan) obyekt boʻyicha ogohlantiruvchi sanitariya nazorati kartasi	150-Карта предупредительного санитарного надзора за строящимся (реконструируемым) объектом	150*	
docum-0001-00029	151-Joriy sanitariya nazoratiga olingan obyektning kartasi	151-Карта объекта, находящегося на текущем санитарном надзоре	151*	
docum-0001-00030	161-Yuqumli kasallik oʻchogʻini epidemiologik tekshirish kartasi	161-Карта эпидемиологического обследования очага инфекционного заболевания	161*	
docum-0001-00031	172-Kasb kasalliklarini (zaharlanishlarni) roʻyxatga olish kartasi	172-Карта учета профессионального заболевания (отравления)	172*	
docum-0001-00032	174-Zoonoz kasalligi oʻchogʻini epizootologik-epidemiologik tekshirish kartasi	174-Карта эпизоотолого-эпидемиологического обследования очага зоонозного заболевания	174*	
docum-0001-00033	Bemorning dispanser-nazorat kartasi (OITS Markazi shakli)	Диспансерно-контрольная карта больного (форма СПИД-центра)	Bemorning*	
docum-0002-00001	"001-ТИББИЙ МУАССАСАГА ҚАБУЛ ҚИЛИНГАН ЁКИ РАД ЭТИЛГАНЛАРНИ
ҲИСОБГА ОЛИШ  ЖУРНАЛИ"	001-Журнал регистрации обратившихся в медицинское учреждение	001*	
docum-0002-00002	"002-ҚАБУЛ ҚИЛИНГАН ва РАД  ЭТИЛГАН ҲОМИЛАДОРЛАРНИ, ТУҚҚАН
 АЁЛЛАРНИ ҲИСОБ ҚИЛИШ "	002-Журнал регистрации принятых беременных и родильниц	002*	
docum-0002-00003	006-Oʻtkazilgan narkozlarni qayd etish jurnali	006-Журнал регистрации проведенных наркозов	006*	
docum-0002-00004	008-Shifoxonadagi jarrohlik amaliyotini qayd etish jurnali	008-Журнал регистрации хирургических операций в стационаре	008*	
docum-0002-00005	009-Qon tarkibiy qismlari va preparatlari quyishni qayd etish jurnali	009-Журнал учета переливания компонентов и препаратов крови	009*	
docum-0002-00006	010-Tugʻruq boʻlimida tugʻruqlarni qayd etish jurnali	010-Журнал регистрации родов в родильном отделении	010*	
docum-0002-00007	012-Patologo-anatomik tekshirish uchun yorilgan murdalarni qayd etish jurnali	012-Журнал регистрации вскрытий для патолого-анатомического исследования		
docum-0002-00008	014-1-Seksion material patologo-gistologik tekshirishlarni qayd etish (jurnali)	014-1-Регистрация патолого-гистологических исследований секционного материала		
docum-0002-00009	014-2-Biopsiya va operatsiya materiallari yuzasidan tekshirishlarni qayd etish (jurnali)	014-2-Регистрация исследований биопсийного и операционного материала		
docum-0002-00010	015-Murdalarni qabul qilish va olib ketilishini (qayd etish jurnali)	015-Журнал приема и выдачи трупов		
docum-0002-00011	017-Rentgen tekshiruvlarini qayd etish jurnali	017-Журнал регистрации рентгеновских исследований	017*	
docum-0002-00012	019-KT va MRT tekshiruvlarini qayd etish jurnali	019-Журнал регистрации КТ и МРТ исследований	019*	
docum-0002-00013	020-EKG tekshiruvlarini qayd etish jurnali	020-Журнал регистрации ЭКГ исследований	020*	
docum-0002-00014	021-1-Endoskopik tekshiruvlarni qayd etish jurnali	021-1-Журнал регистрации эндоскопических исследований	021-1*	
docum-0002-00015	021-Ezofagogastroskopiya va Kolonoskopiya tekshiruvlarini qayd etish jurnali	021-Журнал регистрации исследований эзофагогастроскопии и колоноскопии	021*	
docum-0002-00016	23-Tez yordam chaqiruvlarini qayd etish jurnali	23-Журнал регистрации вызовов скорой помощи	23*	
docum-0002-00017	024-1-Shifokorning kundalik qabul jurnali	024-1-Ежедневный журнал приема врача	024-1*	
docum-0002-00018	024-2-Akusher-ginekolog (doya) jurnali	024-2-Журнал акушера-гинеколога (акушерки)	024-2-Akusher*	
docum-0002-00019	024-Ambulator poliklinikaga kelganlarni qayd etish jurnali	024-Регистрация обратившихся в амбулаторную поликлинику	024*	
docum-0002-00020	029-Muolaja xonasida qon namunalarini olishni qayd etish jurnali	029-Журнал регистрации забора образцов крови в процедурном кабинете	029*	
